iyear,effectiveness
1970,0.5637480798771122
1971,0.2526539278131635
1972,1.0598591549295775
1973,1.3128964059196617
1974,1.9311531841652323
1975,1.0554054054054054
1976,1.2546045503791983
1977,0.6626231993934799
1978,1.745740498034076
1979,1.6446280991735538
1980,2.829451540195342
1981,3.1345707656612527
1982,2.952830188679245
1983,3.927177700348432
1984,4.424034334763949
1985,4.118010291595197
1986,3.67972027972028
1987,3.814326107445806
1988,3.766191883902177
1989,3.149167437557817
1990,3.41162850527399
1991,3.408285287209054
1992,3.8670873594951685
1994,4.242766203703703
1995,6.5670236936059725
1996,5.684434270765206
1997,6.089458867688458
1998,11.513918629550322
1999,5.6050179211469535
2000,4.90077177508269
2001,15.562434417628541
2002,7.76894223555889
2003,7.923317683881064
2004,14.503430531732418
2005,9.052057511155182
2006,8.60768672951414
2007,10.403454657618754
2008,5.742767950052029
2009,5.763609404787122
2010,4.900745959386656
2011,4.445626477541371
2012,4.621098333724478
2013,4.792206713193752
2014,4.073418919718393
2015,4.866889408620113
2016,5.094943696180172
2017,4.4227522935779815
