iyear,effectiveness
1970,0.6479289941
1971,0.1829268293
1972,1.6420664207
1973,2.2777777778
1974,3.0810810811
1975,1.5292553191
1976,1.8698795181
1977,0.615625
1978,1.9543378995
1979,1.9037580202
1980,3.4087221095
1981,3.0692883895
1982,3.0368043088
1983,3.4585365854
1984,1.8950506857
1985,3.7902571042
1986,3.5614754098
1987,3.7407407407
1988,3.5909365559
1989,2.8512573569
1990,2.33258553
1991,2.3585833743
1992,3.4488054608
1994,4.0846153846
1995,8.6919254658
1996,7.0331983806
1997,6.4695498676
1998,16.0815939279
1999,7.779342723
2000,5.7356687898
2001,6.9450549451
2002,10.5856353591
2003,11.8330955777
2004,20.3766423358
2005,13.6014897579
2006,12.6877470356
2007,14.6133333333
2008,7.6983666062
2009,8.3198501873
2010,6.9720073665
2011,6.2015250545
2012,5.4297856615
2013,6.2566749243
2014,5.0304589854
2015,6.007398568
2016,5.9806655268
2017,5.3577310156
