iyear,effectiveness
1970,0.7283950617283951
1971,0.3235294117647059
1972,0.5483870967741935
1973,1.1666666666666667
1974,0.8802083333333334
1975,0.7848605577689243
1976,1.2410071942446044
1977,1.2807570977917981
1978,1.7632743362831858
1979,1.9505178365937859
1980,3.353045013239188
1981,3.899151743638077
1982,3.8040468583599574
1983,5.345668629100084
1984,7.304347826086956
1985,5.773404255319149
1986,3.6786155747836835
1987,4.413961038961039
1988,4.364809384164223
1989,3.980482794042116
1990,4.911764705882353
1991,5.215880893300248
1992,5.315004659832246
1994,5.486402486402486
1995,3.8168631006346327
1996,4.981651376146789
1997,4.668004012036108
1998,6.236734693877551
1999,4.639908256880734
2000,4.749090909090909
2001,4.927989130434782
2002,5.286396181384248
2003,3.660668380462725
2004,6.670184696569921
2005,3.9226594301221165
2006,4.062628336755647
2007,4.492307692307692
2008,3.9954163483575247
2009,2.5537124802527646
2010,2.4232456140350878
2011,2.5987730061349694
2012,2.9474528680304855
2013,2.5882513661202187
2014,3.109126984126984
2015,3.7697950923349355
2016,3.7245044527434645
2017,3.631277813095995
