iyear,%year_attacks_soft,%year_attacks
1970,9.0,8.0
1971,5.0,7.0
1972,27.0,13.0
1973,27.0,12.0
1974,22.0,10.0
1975,18.0,9.0
1976,17.0,12.0
1977,17.0,5.0
1978,9.0,4.0
1979,15.0,3.0
1980,16.0,5.0
1981,16.0,5.0
1982,18.0,4.0
1983,17.0,3.0
1984,17.0,3.0
1985,13.0,2.0
1986,17.0,3.0
1987,16.0,1.0
1988,17.0,2.0
1989,18.0,2.0
1990,20.0,1.0
1991,15.0,3.0
1992,19.0,4.0
1994,22.0,3.0
1995,26.0,2.0
1996,22.0,2.0
1997,28.0,2.0
1998,30.0,2.0
1999,28.0,4.0
2000,30.0,3.0
2001,36.0,2.0
2002,30.0,2.0
2003,21.0,4.0
2004,20.0,3.0
2005,22.0,2.0
2006,31.0,2.0
2007,30.0,1.0
2008,34.0,2.0
2009,35.0,1.0
2010,31.0,2.0
2011,28.0,1.0
2012,20.0,1.0
2013,21.0,1.0
2014,26.0,1.0
2015,28.0,1.0
2016,32.0,1.0
2017,27.0,1.0
